original_file_name,toolkit,time_taken
rooms-swissotel-chicago,lexrank,0.6665947437286377
rooms-swissotel-chicago,lsa,0.35289692878723145
rooms-swissotel-chicago,luhn,0.24200773239135742
bathroom-bestwestern-hotel-sfo,nltk,0.07823705673217773
bathroom-bestwestern-hotel-sfo,gensim,0.2019209861755371
bathroom-bestwestern-hotel-sfo,lexrank,0.22910809516906738
bathroom-bestwestern-hotel-sfo,lsa,0.17377710342407227
bathroom-bestwestern-hotel-sfo,luhn,0.13243579864501953
food-swissotel-chicago,nltk,0.05488300323486328
food-swissotel-chicago,gensim,0.0723731517791748
food-swissotel-chicago,lexrank,0.12522506713867188
food-swissotel-chicago,lsa,0.11094403266906738
food-swissotel-chicago,luhn,0.09147906303405762
accuracy-garmin-nuvi-255W-gps,nltk,0.05290699005126953
accuracy-garmin-nuvi-255W-gps,gensim,0.09663796424865723
accuracy-garmin-nuvi-255W-gps,lexrank,0.16295385360717773
accuracy-garmin-nuvi-255W-gps,lsa,0.12096881866455078
accuracy-garmin-nuvi-255W-gps,luhn,0.09800004959106445
directions-garmin-nuvi-255W-gps,nltk,0.09674906730651855
directions-garmin-nuvi-255W-gps,gensim,0.26978039741516113
directions-garmin-nuvi-255W-gps,lexrank,0.2951681613922119
directions-garmin-nuvi-255W-gps,lsa,0.23593401908874512
directions-garmin-nuvi-255W-gps,luhn,0.17410588264465332
mileage-honda-accord-2008,nltk,0.14336705207824707
mileage-honda-accord-2008,gensim,0.7374804019927979
mileage-honda-accord-2008,lexrank,0.6527609825134277
mileage-honda-accord-2008,lsa,0.3116610050201416
mileage-honda-accord-2008,luhn,0.2183239459991455
eyesight-issues-amazon-kindle,nltk,0.07890510559082031
eyesight-issues-amazon-kindle,gensim,0.1696770191192627
eyesight-issues-amazon-kindle,lexrank,0.19997501373291016
eyesight-issues-amazon-kindle,lsa,0.1590120792388916
eyesight-issues-amazon-kindle,luhn,0.13144707679748535
screen-netbook-1005ha,nltk,0.17795896530151367
screen-netbook-1005ha,gensim,0.7560091018676758
screen-netbook-1005ha,lexrank,0.7901349067687988
screen-netbook-1005ha,lsa,0.42746782302856445
screen-netbook-1005ha,luhn,0.29476380348205566
navigation-amazon-kindle,nltk,0.058892011642456055
navigation-amazon-kindle,gensim,0.11543393135070801
navigation-amazon-kindle,lexrank,0.15515398979187012
navigation-amazon-kindle,lsa,0.12928295135498047
navigation-amazon-kindle,luhn,0.10550665855407715
location-bestwestern-hotel-sfo,nltk,0.30770301818847656
location-bestwestern-hotel-sfo,gensim,3.191042184829712
location-bestwestern-hotel-sfo,lexrank,2.126173257827759
location-bestwestern-hotel-sfo,lsa,0.7479591369628906
location-bestwestern-hotel-sfo,luhn,0.45123291015625
speed-windows7,nltk,0.11196422576904297
speed-windows7,gensim,0.25217700004577637
speed-windows7,lexrank,0.36115193367004395
speed-windows7,lsa,0.23080778121948242
speed-windows7,luhn,0.17428994178771973
price-amazon-kindle,nltk,0.09972572326660156
price-amazon-kindle,gensim,0.2818942070007324
price-amazon-kindle,lexrank,0.27717089653015137
price-amazon-kindle,lsa,0.20714497566223145
price-amazon-kindle,luhn,0.16493916511535645
quality-toyota-camry-2007,nltk,0.05704307556152344
quality-toyota-camry-2007,gensim,0.13481497764587402
quality-toyota-camry-2007,lexrank,0.17075586318969727
quality-toyota-camry-2007,lsa,0.11507487297058105
quality-toyota-camry-2007,luhn,0.0949258804321289
comfort-toyota-camry-2007,nltk,0.09374213218688965
comfort-toyota-camry-2007,gensim,0.3367030620574951
comfort-toyota-camry-2007,lexrank,0.35762810707092285
comfort-toyota-camry-2007,lsa,0.23388314247131348
comfort-toyota-camry-2007,luhn,0.1617259979248047
fonts-amazon-kindle,nltk,0.07661128044128418
fonts-amazon-kindle,gensim,0.1424720287322998
fonts-amazon-kindle,lexrank,0.15449905395507812
fonts-amazon-kindle,lsa,0.14530014991760254
fonts-amazon-kindle,luhn,0.12311124801635742
interior-honda-accord-2008,nltk,0.08344316482543945
interior-honda-accord-2008,gensim,0.23104095458984375
interior-honda-accord-2008,lexrank,0.258821964263916
interior-honda-accord-2008,lsa,0.18384885787963867
interior-honda-accord-2008,luhn,0.13602113723754883
rooms-bestwestern-hotel-sfo,nltk,0.2587919235229492
rooms-bestwestern-hotel-sfo,gensim,1.633119821548462
rooms-bestwestern-hotel-sfo,lexrank,1.587475299835205
rooms-bestwestern-hotel-sfo,lsa,0.6839790344238281
rooms-bestwestern-hotel-sfo,luhn,0.4114260673522949
performance-honda-accord-2008,nltk,0.0417020320892334
performance-honda-accord-2008,gensim,0.07432889938354492
performance-honda-accord-2008,lexrank,0.10906481742858887
performance-honda-accord-2008,lsa,0.09788203239440918
performance-honda-accord-2008,luhn,0.07428097724914551
display-garmin-nuvi-255W-gps,nltk,0.04333615303039551
display-garmin-nuvi-255W-gps,gensim,0.07152915000915527
display-garmin-nuvi-255W-gps,lexrank,0.1048738956451416
display-garmin-nuvi-255W-gps,lsa,0.1063382625579834
display-garmin-nuvi-255W-gps,luhn,0.09322285652160645
free-bestwestern-hotel-sfo,nltk,0.11287498474121094
free-bestwestern-hotel-sfo,gensim,0.39032721519470215
free-bestwestern-hotel-sfo,lexrank,0.43976807594299316
free-bestwestern-hotel-sfo,lsa,0.2657949924468994
free-bestwestern-hotel-sfo,luhn,0.23654794692993164
parking-bestwestern-hotel-sfo,nltk,0.0877068042755127
parking-bestwestern-hotel-sfo,gensim,0.24090981483459473
parking-bestwestern-hotel-sfo,lexrank,0.25863194465637207
parking-bestwestern-hotel-sfo,lsa,0.19017291069030762
parking-bestwestern-hotel-sfo,luhn,0.14849400520324707
